品名,别名,CAS号
N-苄基-N-乙基苯胺,N-乙基-N-苄基苯胺；苄乙基苯胺,92-59-1
2-苄基吡啶,2-苯甲基吡啶,101-82-6
4-苄基吡啶,4-苯甲基吡啶,2116-65-6
苄硫醇,α-甲苯硫醇,100-53-8
变性乙醇,变性酒精,
"(1R,2R,4R)-冰片-2-硫氰基醋酸酯 ",敌稻瘟,115-31-1
丙胺氟磷,"N,N'-氟磷酰二异丙胺；双(二异丙氨基)磷酰氟",371-86-8
1-丙醇,正丙醇,71-23-8
2-丙醇,异丙醇,67-63-0
"1,2-丙二胺","1,2-二氨基丙烷；丙邻二胺",78-90-0
"1,3-丙二胺","1,3-二氨基丙烷",109-76-2
丙二醇乙醚,1-乙氧基-2-丙醇,1569-02-4
丙二腈,二氰甲烷；氰化亚甲基；缩苹果腈,109-77-3
丙二酸铊,丙二酸亚铊,2757-18-8
丙二烯[稳定的],,463-49-0
丙二酰氯,缩苹果酰氯,1663-67-8
丙基三氯硅烷,,141-57-1
丙基胂酸,丙胂酸,107-34-6
丙腈,乙基氰,107-12-0
丙醛,,123-38-6
2-丙炔-1-醇,丙炔醇；炔丙醇,107-19-7
丙炔和丙二烯混合物[稳定的],甲基乙炔和丙二烯混合物,59355-75-8
丙炔酸,,471-25-0
丙酸,,29102
丙酸酐,丙酐,123-62-6
丙酸甲酯,,554-12-1
丙酸烯丙酯,,2408-20-0
丙酸乙酯,,105-37-3
丙酸异丙酯,丙酸-1-甲基乙基酯,637-78-5
丙酸异丁酯,丙酸-2-甲基丙酯,540-42-1
丙酸异戊酯,,105-68-0
丙酸正丁酯,,590-01-2
丙酸正戊酯,,624-54-4
丙酸仲丁酯,,591-34-4
丙酮,二甲基酮,67-64-1
丙酮氰醇,丙酮合氰化氢；2-羟基异丁腈；氰丙醇,75-86-5
丙烷,,74-98-6
丙烯,,115-07-1
2-丙烯-1-醇,烯丙醇；蒜醇；乙烯甲醇,107-18-6
2-丙烯-1-硫醇,烯丙基硫醇,870-23-5
2-丙烯腈[稳定的],丙烯腈；乙烯基氰；氰基乙烯,107-13-1
丙烯醛[稳定的],烯丙醛；败脂醛,107-02-8
丙烯酸[稳定的],,29135
丙烯酸-2-硝基丁酯,,5390-54-5
丙烯酸甲酯[稳定的],,96-33-3
丙烯酸羟丙酯,,2918-23-2
"2-丙烯酸-1,1-二甲基乙基酯",丙烯酸叔丁酯,1663-39-4
丙烯酸乙酯[稳定的],,140-88-5
丙烯酸异丁酯[稳定的],,106-63-8
2-丙烯酸异辛酯,,29590-42-9
丙烯酸正丁酯[稳定的],,141-32-2
丙烯酰胺,,29007
丙烯亚胺,2-甲基氮丙啶；2-甲基乙撑亚胺；丙撑亚胺,75-55-8
丙酰氯,氯化丙酰,28922
"草酸-4-氨基-N,N-二甲基苯胺","N,N-二甲基对苯二胺草酸；对氨基-N,N-二甲基苯胺草酸",24631-29-6
草酸汞,,3444-13-1
超氧化钾,,12030-88-5
超氧化钠,,12034-12-7
次磷酸,,6303-21-5
次氯酸钡[含有效氯＞22%],,13477-10-6
次氯酸钙,,7778-54-3
次氯酸钾溶液[含有效氯＞5%],,7778-66-7
次氯酸锂,,13840-33-0
次氯酸钠溶液[含有效氯＞5%],,7681-52-9
粗苯,动力苯；混合苯,
粗蒽,,
醋酸三丁基锡,,56-36-0
代森锰,,12427-38-2
单过氧马来酸叔丁酯[含量＞52%],,1931-62-0
"单过氧马来酸叔丁酯[含量≤52%,惰性固体含量≥48%]",,
"单过氧马来酸叔丁酯[含量≤52%,含A型稀释剂≥48%]",,
"单过氧马来酸叔丁酯[含量≤52%,糊状物]",,
氮[压缩的或液化的],,7727-37-9
氮化锂,,26134-62-3
氮化镁,,12057-71-5
10-氮杂蒽,吖啶,260-94-6
氘,重氢,7782-39-0
地高辛,地戈辛；毛地黄叶毒苷,20830-75-5
碲化镉,,1306-25-8
3-碘-1-丙烯,3-碘丙烯；烯丙基碘；碘代烯丙基,556-56-9
1-碘-2-甲基丙烷,异丁基碘；碘代异丁烷,513-38-2
2-碘-2-甲基丙烷,叔丁基碘；碘代叔丁烷,558-17-8
1-碘-3-甲基丁烷,异戊基碘；碘代异戊烷,541-28-6
4-碘苯酚,4-碘酚；对碘苯酚,540-38-5
1-碘丙烷,正丙基碘；碘代正丙烷,107-08-4
2-碘丙烷,异丙基碘；碘代异丙烷,75-30-9
1-碘丁烷,正丁基碘；碘代正丁烷,542-69-8
2-碘丁烷,仲丁基碘；碘代仲丁烷,513-48-4
碘化钾汞,碘化汞钾,7783-33-7
碘化氢[无水],,10034-85-2
碘化亚汞,一碘化汞,15385-57-6
碘化亚铊,一碘化铊,7790-30-9
碘化乙酰,碘乙酰；乙酰碘,507-02-8
碘甲烷,甲基碘,74-88-4
碘酸,,7782-68-5
碘酸铵,,13446-09-8
碘酸钡,,10567-69-8
碘酸钙,碘钙石,7789-80-2
碘酸镉,,7790-81-0
碘酸钾,,2139718
碘酸钾合一碘酸,碘酸氢钾；重碘酸钾,13455-24-8
碘酸钾合二碘酸,,
碘酸锂,,13765-03-2
碘酸锰,,25659-29-4
碘酸钠,,7681-55-2
碘酸铅,,25659-31-8
碘酸锶,,13470-01-4
碘酸铁,,29515-61-5
碘酸锌,,7790-37-6
碘酸银,,7783-97-3
1-碘戊烷,正戊基碘；碘代正戊烷,628-17-1
碘乙酸,碘醋酸,64-69-7
碘乙酸乙酯,,623-48-3
碘乙烷,乙基碘,27459
电池液[酸性的],,
电池液[碱性的],,
叠氮化钡,叠氮钡,18810-58-7
叠氮化钠,三氮化钠,26628-22-8
叠氮化铅[含水或水加乙醇≥20%],,13424-46-9
2-丁醇,仲丁醇,78-92-2
丁醇钠,丁氧基钠,2372-45-4
"1,4-丁二胺","1,4-二氨基丁烷；四亚甲基二胺；腐肉碱",110-60-1
丁二腈,"1,2-二氰基乙烷；琥珀腈",110-61-2
"1,3-丁二烯[稳定的]",联乙烯,106-99-0
丁二酰氯,氯化丁二酰；琥珀酰氯,543-20-4
丁基甲苯,,
丁基磷酸,酸式磷酸丁酯,12788-93-1
2-丁基硫醇,仲丁硫醇,513-53-1
丁基三氯硅烷,,7521-80-4
丁醛肟,,110-69-0
1-丁炔[稳定的],乙基乙炔,107-00-6
2-丁炔,巴豆炔；二甲基乙炔,503-17-3
1-丁炔-3-醇,,2028-63-9
丁酸丙烯酯,丁酸烯丙酯；丁酸-2-丙烯酯,2051-78-7
丁酸酐,,106-31-0
丁酸正戊酯,丁酸戊酯,540-18-1
2-丁酮,丁酮；乙基甲基酮；甲乙酮,78-93-3
2-丁酮肟,,96-29-7
1-丁烯,,106-98-9
2-丁烯,,107-01-7
2-丁烯-1-醇,巴豆醇；丁烯醇,6117-91-5
3-丁烯-2-酮,甲基乙烯基酮；丁烯酮,78-94-4
丁烯二酰氯[反式],富马酰氯,627-63-4
3-丁烯腈,烯丙基氰,109-75-1
2-丁烯腈[反式],巴豆腈；丙烯基氰,4786-20-3
2-丁烯醛,巴豆醛；β-甲基丙烯醛,4170-30-3
2-丁烯酸,巴豆酸,3724-65-0
丁烯酸甲酯,巴豆酸甲酯,623-43-8
丁烯酸乙酯,巴豆酸乙酯,623-70-1
2-丁氧基乙醇,乙二醇丁醚；丁基溶纤剂,111-76-2
毒毛旋花苷G,羊角拗质,630-60-4
毒毛旋花苷K,,11005-63-3
杜廷,羟基马桑毒内酯；马桑苷,2571-22-4
短链氯化石蜡（C10-13）,C10-13 氯代烃,85535-84-8
对氨基苯磺酸,4-氨基苯磺酸,121-57-3
对苯二甲酰氯,,100-20-9
对甲苯磺酰氯,,98-59-9
